car,model,year,price,region,Mileage,Body Style,Engine,Gearbox,Hand Drive,Color,Condition,link,Engine Volume,Horsepower,Engine Cylinders,Drive train
Mitsubishi,Grandis ,2005,9700.0,"Armenia, Kotayk",170000.0,Sedan,Gas,Automatic,Right,White,Excellent,https://auto.am/offer/3039408,2.5,200,4,AWD 4x4
Mazda,3,2014,9700.0,"Armenia, Yerevan",216.0,Sedan,Gasoline,Automatic,Left,Gray,Excellent,https://auto.am/offer/3037622,2.5,180,4,FWD
Chevrolet,Volt ,2012,9700.0,"Armenia, Yerevan",236000.0,Hatchback,Hybrid,Automatic,Left,White,Excellent,https://auto.am/offer/3017529,1.4,149,4,FWD
Hyundai,Sonata ,2014,9700.0,"Armenia, Yerevan",110000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2984797,2.4,196,4,FWD
Nissan,Sentra ,2017,9700.0,"Armenia, Yerevan",140800.0,Sedan,Gasoline,Automatic,Left,Brown,Excellent,https://auto.am/offer/3007545,1.8,130,4,FWD
Mercedes-Benz,S 500 ,2004,9700.0,"Armenia, Yerevan",300000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3035498,5.0,308,8,RWD
Nissan,Rogue ,2008,9700.0,"Armenia, Yerevan",203200.0,Hatchback,Gasoline and gas,Automatic,Left,Silver,Good,https://auto.am/offer/3029299,1.5,109,4,FWD
Honda,CR-V ,2008,9700.0,"Armenia, Yerevan",144000.0,SUV / Truck,Gas,Automatic,Left,Blue,Excellent,https://auto.am/offer/3034943,1.5,120,4,FWD
Toyota,Altezza ,2002,9700.0,"Armenia, Yerevan",201000.0,Sedan,Gasoline,Automatic,Right,White,Excellent,https://auto.am/offer/3040568,2.5,200,4,AWD 4x4
Nissan,Serena ,2009,9700.0,"Armenia, Armavir",209000.0,Minivan / Minibus,Gasoline,Automatic,Right,Black,Good,https://auto.am/offer/2830146,2.0,146,4,FWD
BMW,750,2006,9700.0,"Armenia, Shirak",270000.0,Sedan,Gasoline,Automatic,Left,Silver,Excellent,https://auto.am/offer/3026016,3.0,258,6,RWD
Ford,Fusion ,2013,9700.0,"Armenia, Yerevan",208000.0,Sedan,Gasoline and gas,Automatic,Left,Gray,Excellent,https://auto.am/offer/2706616,2.5,175,4,FWD
Infiniti,G25 ,2010,9600.0,Armenia,85000.0,Sedan,Gasoline,Automatic,Left,Black,Good,https://auto.am/offer/3040699,3.7,333,6,RWD
Nissan,Rogue ,2009,9600.0,"Armenia, Yerevan",228800.0,SUV / Truck,Gasoline,CVT Variable,Left,Օther color,Good,https://auto.am/offer/2817049,2.5,170,4,AWD 4x4
Hyundai,Elantra ,2011,9600.0,"Armenia, Yerevan",296000.0,Sedan,Gasoline,Automatic,Left,Gray,Excellent,https://auto.am/offer/3032069,1.8,148,4,FWD
Chevrolet,Cruze ,2016,9600.0,"Armenia, Yerevan",140000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3039143,1.4,153,4,FWD
Honda,Accord ,2009,9600.0,"Armenia, Shirak",227200.0,Sedan,Gas,Automatic,Left,Silver,Good,https://auto.am/offer/3039269,2.4,201,4,FWD
BMW,328,2008,9600.0,"Armenia, Yerevan",210000.0,Coupe,Gasoline and gas,Automatic,Left,Black,Excellent,https://auto.am/offer/2946049,3.0,234,6,RWD
Nissan,Altima ,2013,9600.0,"Armenia, Yerevan",233600.0,Sedan,Gasoline,CVT Variable,Left,Silver,Good,https://auto.am/offer/2828350,2.5,173,4,FWD
Ford,Fusion ,2013,9600.0,"Armenia, Yerevan",197000.0,Sedan,Gasoline,Automatic,Left,Gray,Good,https://auto.am/offer/3039292,2.5,176,4,FWD
Hyundai,Elantra ,2012,9600.0,Armenia,232.0,Sedan,Gasoline,Automatic,Left,Silver,Good,https://auto.am/offer/3024967,1.8,150,6,FWD
BMW,X6 ,2022,104500.0,Armenia,8000.0,SUV / Truck,Diesel,Automatic,Left,Black,Excellent,https://auto.am/offer/2841236,3.0,340,6,AWD 4x4
Ford,Focus ,2017,9500.0,"Armenia, Yerevan",82000.0,Sedan,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3036556,2.0,160,4,FWD
Toyota,Ipsum ,2005,9500.0,"Armenia, Lori",160000.0,Minivan / Minibus,Gasoline,Automatic,Left,Black,Good,https://auto.am/offer/3037053,2.4,184,4,AWD 4x4
Ford,Fiesta ,2019,9500.0,"Armenia, Yerevan",76000.0,Sedan,Gas,Automatic,Left,Black,Good,https://auto.am/offer/2810160,1.6,120,4,FWD
Kia,Optima ,2012,9500.0,"Armenia, Yerevan",219200.0,Sedan,Gasoline,Automatic,Left,White,Good,https://auto.am/offer/3038122,2.4,203,3,FWD
VAZ (Lada),2121 NIVA (4x4) ,2020,9500.0,"Armenia, Yerevan",34000.0,SUV / Truck,Gasoline,Manual,Left,Gray,Good,https://auto.am/offer/3040289,1.7,200,4,AWD 4x4
Chevrolet,Cruze ,2018,9500.0,"Armenia, Shirak",90.0,Sedan,Gasoline,Automatic,Left,Silver,Excellent,https://auto.am/offer/3033920,1.4,153,4,FWD
Mitsubishi,Mirage ,2018,9500.0,"Armenia, Yerevan",78400.0,Hatchback,Gasoline,Automatic,Left,Orange,Good,https://auto.am/offer/3037451,2.4,166,4,AWD 4x4
Chevrolet,Volt ,2014,9500.0,"Armenia, Yerevan",150400.0,Hatchback,Hybrid,Automatic,Left,Gray,Excellent,https://auto.am/offer/3035234,1.4,149,4,FWD
Chevrolet,Volt ,2013,9500.0,"Armenia, Yerevan",140800.0,Sedan,Hybrid,Automatic,Left,Red,Excellent,https://auto.am/offer/2989655,1.4,149,4,FWD
Mitsubishi,Outlander ,2008,9500.0,"Armenia, Yerevan",220000.0,SUV / Truck,Gas,Automatic,Left,Black,Good,https://auto.am/offer/2812642,3.0,220,6,AWD 4x4
Infiniti,M35 ,2005,9500.0,"Armenia, Yerevan",142400.0,Sedan,Gasoline,Automatic,Left,Օther color,Excellent,https://auto.am/offer/3029832,3.5,284,6,AWD 4x4
Chrysler,200,2016,9500.0,"Armenia, Ararat",150000.0,Sedan,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3029541,2.4,179,4,FWD
Kia,Forte ,2018,9500.0,"Armenia, Yerevan",225600.0,Sedan,Gasoline,Automatic,Left,Brown,Excellent,https://auto.am/offer/3039448,2.0,147,4,FWD
Nissan,Xterra ,2006,9500.0,"Armenia, Gegharkunik",288000.0,SUV / Truck,Gas,Automatic,Left,Black,Excellent,https://auto.am/offer/3032554,4.0,261,6,AWD 4x4
